Data_Field	Independent_Var	Samples	-log(p)	p-val	beta	std_error
Neutrophill percentage	Overall acceleration average	215/969	0.24480957591411906	0.5691024091482514	0.03592450527987323	0.06297874637943372
Leg fat-free mass (right)	Body mass index (BMI)	956/969	0.24248691828186628	0.572154188689164	-0.007696448722418834	0.01361981920788126
Fractured bone site(s)	Overall acceleration average	100/969	0.24155417235676438	0.5733843401516201	0.047603353900636164	0.08223542811117218
Mineral and other dietary supplements	Overall acceleration average	215/969	0.23668162994434555	0.5798536163525185	-0.017288302099101684	0.03117442349674911
Leg pain on walking	Overall acceleration average	215/969	0.2350849710799085	0.5819893385881585	0.003042126202269237	0.005494754623784932
Number of operations, self-reported	Body mass index (BMI)	967/969	0.23292700647696016	0.5848883802952494	0.005946859340820684	0.010882598264806292
High light scatter reticulocyte count	Overall acceleration average	215/969	0.23289477326858063	0.5849317921493471	-4.1352229871746515e-05	7.557161484512368e-05
Carer support indicators	Overall acceleration average	215/969	0.23281072363953828	0.5850450057862286	-0.21678867942331737	0.3959881271489689
Weight change compared with 1 year ago	Body mass index (BMI)	967/969	0.2321504170112393	0.5859351919034966	-0.004643408680001301	0.00852107004565811
Cystatin C	Body mass index (BMI)	911/969	0.2272052833481648	0.5926451254558127	0.0006426849365559124	0.0012008088718264399
Eosinophill count	Body mass index (BMI)	932/969	0.22100263485331165	0.6011700901889327	-0.00040124083946422483	0.000767320800053378
Method of measuring blood pressure	Overall acceleration average	215/969	0.22001006383904012	0.6025456232157934	-0.0014117188185095496	0.0027064121270254948
Hip circumference	Body mass index (BMI)	967/969	0.2189454276917303	0.6040245247492301	-0.032718744392520475	0.06306558723714657
Forced vital capacity (FVC)	Body mass index (BMI)	883/969	0.21877213825473477	0.6042655868846234	-0.005289387154779291	0.010201754621117198
Waist circumference	Body mass index (BMI)	967/969	0.21708658730117478	0.6066153738160935	0.046188131580516156	0.08966964282873062
Leg fat mass (right)	Overall acceleration average	215/969	0.2158715066172354	0.6083149549451954	-0.006882195161552264	0.013406409273519427
Mean platelet (thrombocyte) volume	Overall acceleration average	215/969	0.2108221109893521	0.6154289035899562	0.003932845330318554	0.007815297099244518
C-reactive protein	Body mass index (BMI)	909/969	0.20556545755158867	0.6229232523748549	0.015873658333819696	0.032270570532131615
Method of measuring blood pressure	Body mass index (BMI)	967/969	0.2032186364924795	0.6262984883920839	0.0008627510058427208	0.0017711586344833063
Leg fat percentage (left)	Overall acceleration average	215/969	0.2015727391896755	0.6286765494124593	0.04040017240209419	0.08340510024102799
Eosinophill count	Overall acceleration average	215/969	0.20153396589407732	0.6287326794137791	0.0004046614415147121	0.0008354887009220843
Inpatient record format	Body mass index (BMI)	796/969	0.20140758195006842	0.6289156734011615	0.0458384001057389	0.09481413609607431
Leg fat-free mass (left)	Body mass index (BMI)	956/969	0.20080899640809027	0.6297831018404869	-0.006602626535917379	0.013692734862608654
Neutrophill count	Overall acceleration average	215/969	0.20052301364736777	0.6301979503612036	-0.0060722154395564535	0.012591521473585146
Administrative and legal statuses	Body mass index (BMI)	292/969	0.20041034484963988	0.6303614635057939	-0.044995080873086006	0.09339586407648122
Basophill percentage	Body mass index (BMI)	932/969	0.19888477653234307	0.6325796599873283	-0.0016911744459764111	0.003536032446954788
Whole body fat-free mass	Body mass index (BMI)	956/969	0.19763125517072838	0.6344081372444841	-0.03731223098941117	0.07843711209661894
Reason for glasses/contact lenses	Body mass index (BMI)	190/969	0.19213535784742064	0.6424874401448323	-0.009944297583523509	0.021382616425215065
Platelet distribution width	Overall acceleration average	215/969	0.18945618565534575	0.6464632099632326	-0.001885370646717996	0.004103548474683841
Hearing difficulty/problems	Overall acceleration average	215/969	0.18854866931304012	0.6478154936054663	-0.001771009914350873	0.0038707042747713753
Monocyte percentage	Body mass index (BMI)	933/969	0.18819146375985302	0.6483485385592038	-0.009001269364574247	0.019730249217552856
LDL direct	Overall acceleration average	215/969	0.1851558287553322	0.6528962455854487	-0.0030963123052924484	0.006873080899325564
Patient classification on admission (recoded)	Body mass index (BMI)	789/969	0.1818665118890795	0.6578600112241016	1.4699918806112249	3.317884990155121
Glucose	Overall acceleration average	215/969	0.1796484555548391	0.6612284700965654	-0.00350665690241259	0.007987375433529462
Cholesterol	Overall acceleration average	215/969	0.17813512277431054	0.6635365910242466	0.0041226201225400185	0.009460601377598457
Basophill count	Overall acceleration average	215/969	0.17691392867533298	0.6654050174589183	-0.00011868890043018893	0.0002739939611272022
Shortness of breath walking on level ground	Body mass index (BMI)	310/969	0.17216923337509854	0.6727144657004841	0.0020140983117397154	0.004762975182152772
Leg predicted mass (left)	Body mass index (BMI)	956/969	0.1715451250328815	0.6736818934368143	0.005488012192219949	0.013028236371552402
Treatment speciality of consultant (recoded)	Overall acceleration average	215/969	0.1682327452136232	0.6788397342726946	1.5605582380528449	3.7621847664157566
SHBG	Overall acceleration average	215/969	0.16258363773284243	0.6877274549404068	-0.09492140440667457	0.23571820530004078
Reticulocyte percentage	Overall acceleration average	215/969	0.16230958851661875	0.6881615627982338	0.0015154731760599598	0.0037697731776392524
Interpolated Year when operation took place	Overall acceleration average	215/969	0.16110350505064377	0.6900753191507207	-0.5454131546760181	1.365121224626552
Alanine aminotransferase	Overall acceleration average	215/969	0.15785313189838865	0.6952593980889933	0.04408665346689479	0.11235876625520665
Wheeze or whistling in the chest in last year	Body mass index (BMI)	967/969	0.15596267717516055	0.6982924120363276	-0.00118905220668047	0.0030665377598885976
Cancer diagnosed by doctor	Body mass index (BMI)	967/969	0.1548124505006735	0.7001442871127096	-0.000800104618352106	0.002076850679046024
Pulse wave Arterial Stiffness index	Body mass index (BMI)	304/969	0.1532674413322554	0.7026394967134009	-0.015660983569166773	0.04098132485622667
Tinnitus	Body mass index (BMI)	309/969	0.1505642264737154	0.7070266329576127	-0.026729949805992123	0.07104826275430708
Phosphate	Body mass index (BMI)	827/969	0.1499209451774773	0.7080746638076348	-0.00044535025584984084	0.0011889243458604647
Pulse rate	Overall acceleration average	215/969	0.14842809265795104	0.7105128018398492	-0.07198596290099714	0.19272133804989938
Wears glasses or contact lenses	Body mass index (BMI)	967/969	0.1455326640076818	0.7152655957414625	0.0009113022509710007	0.002497343354933235
Patient classification on admission (polymorphic)	Overall acceleration average	215/969	0.1447560346835785	0.7165458174344184	0.0017206097728474498	0.004729945714523128
Platelet crit	Overall acceleration average	215/969	0.14276727358660227	0.7198346141494554	0.00012999127760743903	0.0003618318717475534
Calcium	Overall acceleration average	215/969	0.14211494144170136	0.7209166543637767	0.00030898939558484675	0.0008634453642795973
Arm fat mass (right)	Body mass index (BMI)	956/969	0.13856440942333506	0.7268345957056355	0.001604131415930517	0.0045904471302117165
Ever had bowel cancer screening	Overall acceleration average	215/969	0.1377263368019502	0.7282385469822324	-0.0014728148992609433	0.004232406462284483
Hearing aid user	Body mass index (BMI)	568/969	0.13753178497157292	0.7285648506478085	0.000739573202038493	0.002129968527572371
Other eye problems	Overall acceleration average	215/969	0.13605995148267452	0.7310381615315102	-0.0011986040394256145	0.0034817454335927516
Hand grip strength (right)	Overall acceleration average	215/969	0.13454629622387188	0.7335905087719132	0.02944780970812845	0.08639366919316922
Haemoglobin concentration	Overall acceleration average	215/969	0.1333679623594046	0.7355835994219345	-0.0031163388358990476	0.009213961731739218
Methods of discharge from hospital (polymorphic)	Body mass index (BMI)	796/969	0.1323110013259441	0.7373760008889227	-0.004851311387977578	0.014461784847913807
Testosterone	Body mass index (BMI)	820/969	0.13043742532690608	0.7405639628189402	-0.014889086502142929	0.04495119689324051
Immature reticulocyte fraction	Body mass index (BMI)	915/969	0.1302970844807151	0.740803312319989	0.000140720736509703	0.00042526912247748127
Fractured/broken bones in last 5 years	Body mass index (BMI)	967/969	0.1291291714106767	0.7427981759399892	-0.0007541603409895132	0.0022975082004324967
Method of recording time when non-cancer illness first diagnosed	Body mass index (BMI)	714/969	0.12783064482590703	0.7450224422699946	0.002274398011969445	0.0069907129222236
Red blood cell (erythrocyte) distribution width	Body mass index (BMI)	935/969	0.12653894130897217	0.7472416292603254	0.0023720708047960453	0.0073579655882266785
Mean sphered cell volume	Overall acceleration average	215/969	0.1265089811756175	0.7472931800674836	-0.011966816949085699	0.03708186983879671
Pace-maker	Body mass index (BMI)	967/969	0.12640709779160098	0.7474685119967772	-0.00012655995919830893	0.0003929480784923674
IGF-1	Overall acceleration average	215/969	0.12595930887348913	0.7482396033729807	-0.01379340183991238	0.0429087205545967
Nucleated red blood cell percentage	Body mass index (BMI)	932/969	0.12194060765698748	0.755195498061734	0.0009876768749126348	0.0031666957445116444
Wears glasses or contact lenses	Overall acceleration average	215/969	0.11976564851951416	0.758987024742315	-0.001072855482949351	0.0034917347840612545
Body fat percentage	Overall acceleration average	215/969	0.11901592500895623	0.7602983972841392	-0.021143401654879865	0.06920010128105557
Destinations on discharge from hospital (recoded)	Overall acceleration average	215/969	0.11526804981069093	0.7668880142279281	7.186959360971912e-15	2.4200513471286908e-14
Falls in the last year	Overall acceleration average	215/969	0.11224743312481776	0.7722404866671342	-0.001172140730061954	0.0040437747695229774
Weight	Body mass index (BMI)	967/969	0.11159392499452399	0.7734033965079082	0.030692488306377958	0.1065663668086536
Eye problems/disorders	Overall acceleration average	215/969	0.11140823260508716	0.7737341532593731	0.012080019342152956	0.04185377415515573
Medication for cholesterol, blood pressure or diabetes	Overall acceleration average	215/969	0.11113026851379475	0.7742295294633805	-0.01273630817741403	0.04425474190498442
Haematocrit percentage	Overall acceleration average	215/969	0.10933801559465288	0.7774312332618429	-0.007285442493073238	0.025736446597883114
Overall health rating	Body mass index (BMI)	967/969	0.10213258323545828	0.7904372831632642	-0.001444298464526076	0.005433326678044569
Methods of admission to hospital (polymorphic)	Overall acceleration average	215/969	0.10084091289577009	0.7927916860836972	-0.007385256307875054	0.028064537283981415
Number of self-reported non-cancer illnesses	Body mass index (BMI)	967/969	0.0987909863220301	0.7965426116633746	0.0035607144547220113	0.0138065311187319
Sitting height	Body mass index (BMI)	961/969	0.09826026893665211	0.797516599206969	-0.008323977769461033	0.03243457088144715
Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones	Body mass index (BMI)	526/969	0.09777741392557862	0.7984037830264348	-0.010141282947340343	0.039683381517181246
Methods of discharge from hospital (recoded)	Overall acceleration average	215/969	0.09414818110100752	0.8051036932763225	0.00028372834413306625	0.0011478685865557244
Mean corpuscular volume	Overall acceleration average	215/969	0.0918162742465894	0.8094382549010949	0.008436639264736928	0.03493409331413803
Methods of discharge from hospital (recoded)	Body mass index (BMI)	794/969	0.09133321447637598	0.8103390828191216	0.00032455720795785347	0.0013518987763342565
High light scatter reticulocyte count	Body mass index (BMI)	915/969	0.09011065019230519	0.8126234483791267	1.573464801273062e-05	6.635824072354505e-05
Sources of admission to hospital (polymorphic)	Body mass index (BMI)	795/969	0.08961221332689939	0.8135566262616386	-0.00915958033836629	0.03882418297888521
Vitamin D	Overall acceleration average	215/969	0.08857961562272706	0.8154932757776483	0.04248480156976288	0.18177047103911392
Impedance of arm (right)	Overall acceleration average	215/969	0.0867663480302494	0.8189052435628812	-0.09469977691996591	0.413032671692023
Impedance of whole body	Body mass index (BMI)	956/969	0.08630361854573912	0.8197782308091321	-0.13853317320107972	0.6078739628935569
Calcium	Body mass index (BMI)	828/969	0.0850327064361812	0.8221807297172069	0.0001595577930996129	0.0007097194628746451
Heel bone mineral density (BMD) T-score, automated	Body mass index (BMI)	556/969	0.08283343079568393	0.8263548287437321	0.002337492680400441	0.010649569877946184
Pregnant	Body mass index (BMI)	528/969	0.08048630045512528	0.8308329263879779	0.00017053524606231438	0.000797836143858274
Taking other prescription medications	Body mass index (BMI)	967/969	0.0803172142854772	0.8311564619471773	0.0007707230268027242	0.0036136551291110256
Operation code	Overall acceleration average	215/969	0.07895110995795523	0.8337750402962026	-24.270776451447688	115.4550156007648
Histology of cancer tumour	Overall acceleration average	165/969	0.0789062262230669	0.8338612142479698	-1.2510071086861072	5.902248875049307
Direct bilirubin	Body mass index (BMI)	806/969	0.0780207840508341	0.8355630296963563	-0.0011958711806218738	0.005759206135567982
Reported occurrences of cancer	Body mass index (BMI)	178/969	0.07785977134941321	0.8358728683166041	-0.002346846589457363	0.011309492092019065
Oestradiol	Overall acceleration average	149/969	0.07765403162135515	0.8362689428805367	4.895643304415538	23.327778925269136
Mean corpuscular haemoglobin	Body mass index (BMI)	935/969	0.07764369686751615	0.8362888435167678	-0.0025587746381561874	0.012378880253148043
Arm fat percentage (right)	Body mass index (BMI)	956/969	0.07729982068050258	0.8369512827469352	0.014607422914930335	0.0709596860085605
Waist circumference	Overall acceleration average	215/969	0.07404877308651642	0.8432400530621595	-0.02025469010670239	0.10228388948805163
Intended management of patient (recoded)	Overall acceleration average	215/969	0.07083925584013402	0.8494948379217835	0.3104933016549278	1.6332549738533741
Methods of admission to hospital (recoded)	Body mass index (BMI)	796/969	0.06989023277006337	0.8513531891573286	-0.4177743437465002	2.2286296966308643
Gamma glutamyltransferase	Overall acceleration average	215/969	0.06961759245160715	0.8518878173583803	0.05186561754910168	0.277387653936216
Back pain for 3+ months	Overall acceleration average	215/969	0.06726822912180354	0.8565086846199854	-0.0017132330716904858	0.009403095615200936
Cancer record format	Body mass index (BMI)	176/969	0.06627893985622774	0.8584619690796663	0.013647902134515055	0.07640506540012162
Reticulocyte count	Overall acceleration average	215/969	0.06498665897600993	0.8610202013227091	-4.353653280549845e-05	0.00024830889528906883
Trunk fat mass	Body mass index (BMI)	955/969	0.061731100801131304	0.867498832937702	-0.00592250026457001	0.03548858223702683
Patient classification on admission (recoded)	Overall acceleration average	215/969	0.061482157936247984	0.8679962363364431	0.654289326864242	3.929784456823527
Chest pain or discomfort	Overall acceleration average	215/969	0.060058002696495014	0.870847275184627	-0.0004991092095995616	0.0030657199153646298
Non-cancer illness code, self-reported	Overall acceleration average	215/969	0.06004312145733335	0.8708771155559532	20.768533183535936	127.52874387701884
Number of self-reported cancers	Overall acceleration average	215/969	0.0583884265728969	0.8742015525130843	0.0004874490366059502	0.003074614206335746
Pulse rate	Body mass index (BMI)	303/969	0.058346170284965346	0.8742866153247081	-0.03009988735211097	0.1900715220808966
Treatment speciality of consultant (recoded)	Body mass index (BMI)	796/969	0.058276088843662775	0.8744277090124208	-0.8114082110953178	5.132524962011872
Number of treatments/medications taken	Overall acceleration average	215/969	0.05671331477439797	0.8775799355265677	0.0033026585179079943	0.021411557433605
Number of operations, self-reported	Overall acceleration average	215/969	0.05621111724744031	0.8785953142682126	-0.0016483018582411568	0.010776239153532327
Carer support indicators	Body mass index (BMI)	689/969	0.055742865270516584	0.8795431178336383	-0.0563097668315187	0.3714132587052679
Fracture resulting from simple fall	Body mass index (BMI)	100/969	0.05402902888976527	0.8830208760159158	-0.0024941677768179206	0.016900618155191043
Albumin	Overall acceleration average	215/969	0.05289524445592314	0.8853291330381593	0.003217621297118753	0.022275853466614117
Medication for pain relief, constipation, heartburn	Body mass index (BMI)	959/969	0.0491590941889576	0.892978300936099	-0.004264554303454873	0.031689052821639405
Monocyte percentage	Overall acceleration average	215/969	0.04796803054418273	0.8954306779180068	0.0024287675569244823	0.01845323204537013
Forced expiratory volume in 1-second (FEV1)	Body mass index (BMI)	881/969	0.047144463940644345	0.897130322967905	0.0007264940802447837	0.005617480900338782
Peak expiratory flow (PEF)	Body mass index (BMI)	881/969	0.0467869859370153	0.8978690760400498	-0.12120035827832387	0.9439752733741953
Headaches for 3+ months	Body mass index (BMI)	236/969	0.042526422346987496	0.9067207982823388	-0.0008588921092015953	0.0073214322445269145
Long-standing illness, disability or infirmity	Body mass index (BMI)	967/969	0.04222211360223472	0.9073563572665146	-0.0004093546600958979	0.0035165930807341795
Sources of admission to hospital (recoded)	Overall acceleration average	215/969	0.041386178074983584	0.9091045302046528	-5.218048215738236e-15	4.56326639761391e-14
Lymphocyte percentage	Body mass index (BMI)	932/969	0.03991022076149939	0.9121993936800241	0.005517279973949379	0.050021998774781425
White blood cell (leukocyte) count	Body mass index (BMI)	935/969	0.03798266086824733	0.9162570707961533	0.0013495134540657556	0.012830481690812232
Falls in the last year	Body mass index (BMI)	967/969	0.03456514168975425	0.9234956589606549	-0.00042223154496069464	0.004395572012265096
Destinations on discharge from hospital (polymorphic)	Overall acceleration average	215/969	0.032554822342552324	0.9277803661351935	0.002188923931364812	0.0241082779591544
Urea	Overall acceleration average	215/969	0.029339255367556803	0.9346752539064684	-0.000854840266152194	0.010414542578197426
Leg fat mass (left)	Body mass index (BMI)	958/969	0.028948637157588265	0.935516308607414	0.0010727691445142776	0.013255611813062014
Nucleated red blood cell count	Body mass index (BMI)	932/969	0.028839646251391488	0.9357511160247025	1.7860933383013995e-05	0.00022150443740901463
Urea	Body mass index (BMI)	911/969	0.02781286971803173	0.9379660738756048	-0.0007416107477279076	0.009526187960386281
Vascular/heart problems diagnosed by doctor	Body mass index (BMI)	967/969	0.026503941768988324	0.9407972910784166	0.0024089564951134124	0.032426989961157254
Medication for pain relief, constipation, heartburn	Overall acceleration average	215/969	0.025449194854672667	0.9430849300720245	-0.002480855831672112	0.03470234323270526
Impedance of leg (right)	Body mass index (BMI)	956/969	0.025339807538727985	0.9433224981886632	0.017159917754542228	0.24129908312390222
Platelet crit	Body mass index (BMI)	936/969	0.02355721751962239	0.9472023840668446	2.1971636297940102e-05	0.00033169968413080834
Cancer record format	Overall acceleration average	176/969	0.022978954699323855	0.9484644234412565	-0.007134782071442356	0.10954884417449022
Trunk predicted mass	Overall acceleration average	215/969	0.022833741243960842	0.9487816110423595	-0.002738532709755695	0.042575195282627404
Impedance of arm (right)	Body mass index (BMI)	956/969	0.02265507418994369	0.9491720163924415	0.023672122923894746	0.37124215967174834
Standing height	Body mass index (BMI)	967/969	0.021701876701273763	0.951257564392805	-0.003887466208686747	0.06357812385299064
Most recent bowel cancer screening	Overall acceleration average	215/969	0.0206477054352115	0.9535693746087708	0.006466860245267451	0.11044927444460853
White blood cell (leukocyte) count	Overall acceleration average	215/969	0.020525668292614072	0.9538373661175018	0.0007976897680230695	0.013760549824985834
Monocyte count	Body mass index (BMI)	932/969	0.020031624094752162	0.9549230486965434	8.541319237757581e-05	0.0015106144239091875
Leg fat percentage (right)	Body mass index (BMI)	956/969	0.017584856174901006	0.9603181648680349	0.0037386656857798972	0.0751212741355464
Method of recording time when operation occurred	Body mass index (BMI)	759/969	0.017094997184667195	0.9614019591814558	-0.00020751592478355618	0.004286477995718437
Hospital episode type	Overall acceleration average	215/969	0.015344995657128711	0.9652837704272634	1.734723475976807e-18	3.9783836253132125e-17
Patient classification on admission (polymorphic)	Body mass index (BMI)	789/969	0.014864102370519841	0.9663532189283859	0.00016176041484193128	0.003833467874328427
Vitamin and mineral supplements	Overall acceleration average	215/969	0.014055411341194266	0.9681543222210218	-0.0016596782949745113	0.0415163997260196
Glucose	Body mass index (BMI)	825/969	0.013158532075395	0.9701557631566833	0.0002941665759512881	0.007860125454143545
Trunk fat percentage	Overall acceleration average	215/969	0.006591071886860481	0.9849380788738525	-0.0011727918534237408	0.06204076068063375
Arm fat mass (left)	Body mass index (BMI)	956/969	0.004963516747988292	0.988636142331007	6.975794685739039e-05	0.004896333488270698
Mouth/teeth dental problems	Overall acceleration average	215/969	0.002199762523533475	0.9949476657979497	0.00025329803369299794	0.03994782671084404
HDL cholesterol	Overall acceleration average	215/969	0.0021650863881332357	0.9950271103196031	1.7885900145369334e-05	0.002865093037675327
Whole body water mass	Overall acceleration average	215/969	0.0021526059795137628	0.9950557050263693	-0.0004107324276578509	0.0661928795449954
Pulse wave Arterial Stiffness index	Overall acceleration average	215/969	0.0011147080989592465	0.9974365809326138	-0.00014248062590479387	0.04414703497690143
